Noun,Verb,Adjective,Exclamation
처불럿,어린나이,원망해라고,
재는,닮았네,그런,
아따,까였음,성장한,
싹,대,있지만,
뿌리,줬을지,같을,
출석,않냐,설쳐도,
일수,떠나서,있는,
년,썩은거다,대단한거,
정도,했다잖니,없더만,
알,하면서도,뻔하자,
황금,까,달랐다,
수저,따서,아니고,
졸업,돼,있는거,
이대,넘어도,같고,
입학,가고,짜증납니다,
정유,낳고,있는,
년,부리는데,있었던것,
최,낳아,같다,
실년,늘려줘,있다,
머리,들,있다고,
댕,하시게나,많구만,
계좌,놓고,어떻게,
동결,다느,자세히도,
돈,긴,불쾌한데,
부동산,지내야,뛰어난,
압수,할,아니고,
국고,받고,많지만,
환수,잊었구나,그렇지,
해,보다,쉬웠겠다,
징역,하세요,있는,
무기징역,하기,있으면,
다가,보네,아닌가,
필수,하긴,이런,
해,싶긴,같은게,
학교,했을까,잘난,
선생,쉬어도,떳떳하다면,
성질,넣어주고,그랬겠니,
또,하면,웬만하면,
랄,넣어줄테니,아님,
네,잘나가는,중요하지,
욕,빼준다,필요하겠군,
안,자기하나구만,그렇지,
축구,할,그러면서,
야구,들,아님,
농구,들고나와,이러한,
씨름,말해,다른건,
승마,숨어,그렇다치고,
등등,잇냐,안될건데,
체육,매고,편하게만,
특기,뛰다니,조용해지면,
운동,망쳤네,대단하다,
게,다닐듯,구린내,
출석,가리냐,안되겠,
걸,잖냐,아닌것,
가지,이러고도,대단합니다,
잘못,하고있겠지,대단하다,
트집,시켜야,자랑스러운,
잡,되는데,없다,
기자,보면,아니고,
끼,생겼네,안되는데,
진짜,날아갔다,없군요,
욕,했는데도,없었다면,
바가지,어린것이,아닌,
박,까져가지고,불우했다면,
최,써,없었으면,
정,먹노,궁금해진게,
이,따,조용히,
쓰레기통,했냐,있는,
얼굴,했던,있다는데,
공개,비었다고는,좋지,
누굴,했는데,많아도,
혹시,낳느라,아니지,
나마,해,부러워라,
운동,와,짧아서,
말,들어있는,이런,
이함,헐,같은,
권력자,찾아가서,있노,
최,하면서,있긴있을까요,
대통령,할수있는것,아니라,
딸,해요,좋네,
학교,했는지,없어도,
가기,밝혀,없는,
나,봅시다,좋다,
지각,긴,있는,
무단,아는데,어떻게,
그이,해서,궁금해요,
대학,만들면,대단하다,
출석,대박날듯,없는,
안,해준,자랑스런,
맞춤법,하는,시끄러운지,
은애,몰라라,있을,
이화여대,하는,없지,
진짜,쫓아다니며,같고,
이제,갖다주는,없다,
부모,까도,있는,
돈,까도,아니니까,
능력,나라네요,야할,
말,가고,같은데,
굴복,해서,낮음,
시작,캐지말고,있었는데,
나,딴,가능했지만,
고등학생,해서,없는,
새누리당,까도,한심해요,
문제,까도,불성실한,
정유,나오노,안되는게,
최,빠지게,없구나,
실,하는데,아님,
박근혜,빠지고도,복잡하구만,
인간,다니니,망할,
폐기물,맞는지,너저분한,
녀석,하고싶어요,좋은,
머리,짜,있네,
텅,낳으러,더하냐,
봄,가냐,미에,
여름,보는듯,정신차리지,
겨울방학,만든,더러운,
합치,하겠는가,편하게,
칠,메디,좋은,
수업,일으켜야,영원히,
여기,된다,진정한,
팩트,까도,아니다,
유라,까도,새로운,
장위,잘,있었지,
돌출,밝히는것이고,있고,
장비,우습게,있고,
유무,아는,많아,
유라,지니고있는,없다,
승마,나온,수월하게,
바지,들,아닙니까,
가랑이,묻힐것,좋다,
오픈,들,한심하지,
구조,썼나,없다,
거,잡아당겨,대단하다,
개,보자,없고,
해당,보니,아니고,
면,남아나겠어,젊은,
당장,가면,대단하네,
구속,다녔다는거고,아님,
역시,들어가,대단한,
승마,대,정확히,
돈,헤어져서,많으셨습니다,
인맥,키우고,입니다,
스포츠,탐,있을것이다,
는걸,가고나서,재밌는,
다시금,떠오른,있을거,
선수,캐고,같아,
응원,캐도,한심한,
스포츠,허나,작은거,
몇몇,보냈네,야한다,
선수,낳고,아닌가,
들보,들어오지만,망했으니,
안타,않는다면,입니다,
돈,않는다만,어떻게,
실력,지나서,추한,
더니,들,많으니까,
그,잊혀지고,새로,
은돈,들어오겠지,당할라,
발라,까면,이상해진,
무식,까면,안되는,
못햇,하세,같은,
남,가,필요하다고,
부모,판친다는,부패해,
탓,생각나네,아깝다,
세상,한,좋은,
부모,봐도,너무하네,
나중,낳는건,너무해,
자식,가르쳐줘도,드럽게,
너,배웠을텐데,그럼,
얘,다니는데,같은,
자식,하고,멋진,
나중,하지,궁금하다,
커서,된다,멋지네,
존속살인,할,부럽겠냐,
아이,자랄,부럽겠냐,
도,지,이런,
제대로,된다,있을까,
수사,오면,있지도,
역사,돼나,억울한,
바로,살아라고,이런,
진짜,하고,철저히,
쓰레기,말소,있으면,
구나,시키고,안되는,
너,들어,아닙니까,
인성,오게,좋은,
더,자퇴시키고,아니라,
승마,만들어도,같은데,
협회,될,더러운것,
공결,놔라,싫,
거기,놔라,안된다,
교육,하지,없으면서,
기관,하시는,수많은,
왜,잡아가세요,나쁘겠네,
승인,들입니다,죄송하다고,
우리,합니다,있는데,
집,하더니,있으니,
공결,짓을하내,있었다,
말,닮았길래,없고,
안장,하는,없으니,
밑,잘,같은,
돌출,나오던데,드럽게,
장비,허자구요,가능한가요,
고교,망쳐,안되는,
결석,먹는,아니냐,
사형,해,미안해,
감,까고,없습니다,
공문,하고,편하게,
덕,싶은데,좋겠다,
공결,뽑죠,싫은,
애교,태어날려면,괴롭게,
수준,태어나거라,적당히를,
실,태어나면,이런,
딸,탔을것인디,있으면,
관리,탔으니,있는,
좀,일듯,없는,
해,가고,이런데도,
말,갔는데,힘들게,
안장,앉기만,망한다,
밑,되는,망하는건,
돌출,않다,아님,
장비,찍어,아니고,
반칙,닮아서,무서워서,
여자,생겼지만,없겠다,
말,떠나시지,있음,
저년,해줘라,있지,
말,쪽팔리겠냐,힘들어서,
타도,풀어,그랬나,
임신,봅시다,같은데,
하나,하지,스럽고,
하여튼,들만의,이런,
개판,느끼게,드러운,
결석,해주네,그러니,
졸업,놀랍지도,엉뚱한데,
개한민국,않다,힘들어요,
역시,하러,편하게가네,
권력,보내서,좋은,
민심,올라,아니다,
심,노,같은것만,
닭년,한다,좋은,
재적,받아,같은,
감,본,가능한거에요,
수사,찾아서,이런데도,
제대로,까네,아니고,
인터넷,받은,없음,
기사,갑질,그럼,
블로그,갑질,안좋은,
정유,잘,엄청난,
라가,가는,있다,
페북,했다는,같은,
글,구르,있다,
캡쳐,대,없는,
게,해야,있는것,
맞춤법,했었다,같다,
띄어쓰기,가는,같은,
가관,참,없네,
임,알려나,많으니,
이제,감사해야,싫었을거야,
진실,된다,그렇거든,
자해,가렸네,그러다,
우리,하는듯,미와,
아기,싶다,같,
존재,일어나겠는가,더러운것만,
엇으,믿나,이런,
가요,하는,아니네,
절대,하고,없다,
수업,데려와서,없던,
병신,들어,어처구니없는,
얘,보면,의할련,
연예,잇다고,그런건,
운동선수,만드냐,아니고,
눈,쳐,아닌,
개돼지,누워,자세히,
후회,잇어도,있기는,
표,먹여줄텐데,있는,
왜정,해가,확실해지지,
운호,잡아가주라,재수없게,
사진,찢어,안타깝게,
공개,버릴련,없다,
정유,쪽팔린다,아니고,
계속,먹고살았겠다,아니고,
모자이크,하고,아니냐,
학생,다녔길래,싫어하고,
병원,올라오는거냐,있어도,
확인,해서,좋겟네,
조퇴,였다,그러니,
보건,전해지다,없는것을,
실,해서,편하게만,
누,하는것마다,가혹하고,
결석,막혀서,어려운지,
고등학교,할말을,있나,
졸업,잃음,있잖아,
명문,않는것,가혹할,
이대,들이,같다,
여기,다는것이,그만하고,
관련,찬다,젊어서,
처벌,꼈는데,있으니,
교육,어린게,없는데,
제지,되,있음,
개인,참,다르지,
위,베풀지,황당한지,
사유,그리,편하게,
제,였,그럴까,
논,할,없는,
데,할길이,짜증난다,
년,팔렸는데,노랗다,
왜,따,조용히,
모자이크,되네,많아,
어차피,쓰고하나있는,있나,
얼,해야지,높아가지고,
굴다,먹구,많네요,
돈,적은,없는디,
살,먹,멀,
펑펑,족쳤음,당해도,
국가,여긴,당할,
기여,숨겨놓은,있는,
효녀,개졌던데,바쁘셨나,
왜,했던거지,같은,
결과,개졌던데,있구나,
학교,했던거지,어떤,
명예,참,없네,
마인드,돌대,이렇네,
대한민국,가린가보다,싫으시다는데,
뭘,시키고,있는,
저,할만,명명백백히,
은,시킬,힘드냐,
도대체,했으면,아닌거,
어디,쳐서,같고,
뭐,들어가고도,비리는,
해,남았을텐데,있다며,
저,몰랐음,머나먼,
새끼,믿었던,짱하시느라,
세간,흐린다더니,많으시네,
여론,됐네,한심하다,
쫄려,해라,이런,
자살,쓰잘,미치인,
길,든,당당할수,
가다가,믿고,있는,
남,꿇은거,희한한,
칼,설이있던데,다르다,
번호판,까도,망했다,
차량,까,없으면,
차량,까져가,성실하기라도,
방법,해야겠다,다를게,
최후,꼴아,드러운,
맞이,박은듯,많은게,
것,나오네요,많은게,
나라,낳는거야,없는,
그냥,떼는거보다,궁금하다,
싹,한거고,뿐인거라고,
엎,만든것도,어마어마하구나,
머리,한건데,있을거다,
총알,되었다는,흔한데,
제,그만둔,아니고,
대통령,이었는데,대단하십니다,
어르신,써주지,부럽다,
좀,않았는데,멀,
정신,바뀌어주니,미,
좀,참,그럼,
대한민국,해야,엄밀히,
한국,할,없고,
가가,깔린,없구나,
최,하는,그런거,
실,숨어있냐,아님,
집,다녔다는데,특이하게,
손아귀,하셨,그러니,
고,해서,어떤,
때,바꿔,힘들겠다,
애,보니,대단하구나,
새끼,나오던데,측은하군,
뱃으,들고,없음,
학교,나오고,이런,
저,나가서,있고,
새끼,받고,있기,
독일,해서,이런거,
질,드는게,안된단다,
댕기,하지,가능할까,
거,참,한심한,
아이,하지,대단하다,
대부분,마셔요,없네,
정유,나와요,많을까,
최,띄웁니다,황당해서,
실,띄워주셔요,아니면,
욕,돌리게,어땠을까,
본인,참,같은,
저,죽어,편하게,
다이아몬드,죽어,좋은,
줄,죽어,좋지,
타고,참,없다,
그냥,숙이면서,꼬이나보다,
저,잘,진정한,
마냥,보이려고,이쁘더라,
겁,했는지,아니,
대가리,잡자,아님,
거,하는,같,
면서,합시다,유연해야,
기선,넘,잘나,
질투,어린,부럽,
게,해주는대,그러는거,
사생활,쓰지말랍니다,아닌가,
부분,해줘도,없는것,
말,되겠죠,미아리,
정상,거칠게,대단하다,
사람,건넸다고,희고록,
구기종목,나오던데,급하네,
여럿,했다고,그럼,
합,들이,그렇지,
종목,하는구나,무서운,
합숙,딸이길래,있으면,
길,봐주는거야,마라,
정도,간던데,적당히,
걸,겁나,있다,
뭐,까져서,잔인한,
출석,노느라,있군,
승마,꿔줄수있다니,없는,
합숙,저런건,그런,
종목,오면,아닌가요,
말,않겠지,이런,
바람,판치네,답답하다,
공휴일,하기사,평등해야,
국경일,차리는데,미,
겨울방학,됐는지,없다는,
여름방학,지키신,애잔해지네,
봄방학,하는,잔잔하게,
결석,이는,있는게,
일이,까,없는,
조퇴,끼마,있을까,
일수,한다,이런,
조사,는,있는가,
종례,맞다,있으니,
참석,하면서,없고,
하루,드는,같은,
수도,대는,있으면서,
얘,불릴,없네,
다이아몬드,나가면,아니라,
수저,나가면,불과하고,
친구,해도,있네,
생,되는거냐,대단한,
오늘,맞어요,부유한,
돈,봐도,있긴하지만,
미아,않는데,없이도,
리,해도,중요하,
우리,보이는데,더럽다,
반,가고,같지만,
예체능,했니,많다,
애가,알아가지고,그럼,
결석,꺼지라,멀다하고,
하나,해놨냐,짜증난다,
일개,봐라,더러운,
인간,해서,지겹다,
시간,낳은게,비리란다,
투자,잘,있다,
머,생긴게,많은,
하나,그리,있어,
이,잘,확실하다,
세상,된거고,확실하게,
살,맞지만,더러운,
다음생,낳고,없다,
바퀴벌레,사는게,아픈,
뭐,빠졌나,같아,
대통령,보네,부럽노,
요,쓰는구나,없고,
대한민국,가는것은,아니지,
어케,된게,비일비재한,
일,드러나는,좋겠음,
집,챙길려고,있잖아,
양반,하는게,많았고,
박근혜,죽일,평등하고,
게이트,잡아,공정하게,
어찌,몰,있는,
국민,들,없다고,
행복,하시져,있는거,
시대,나가면,이상하지,
진짜,꺼내요,비싼,
줄,떠들면,같은,
대한민국,알아주나요,진정한,
나라,해도,아니면말고,
뭐,시킨,나쁘다,
원래,썩었구만,없다는거,
끝,태웠을까,안되니,
보이지,어릴,습하다,
이명박,했으면,많을꺼다,
실,배웠구나,좋은,
꼬리,사는,있다고,
꼬리,썩은,좋은,
물,들아,아니라고요,
나라,까도,있고,
망신,까도,있고,
헬,했다,있다가,
조선만,빼면,좋아,
위인,했는데,좋네,
어차피,시킨다고,있으니,
예전,자다,있었네,
승마,가도,무능력한,
금메달,되고,수많은,
리스트,해도,변했을텐데,
정도,가는,딴게,
얼굴,꿇은지오래,아니라,
새삼,된지오래,미는,
모자이크,딸인가여,젊은,
처리,참,아니란,
필요,됐다,없네,
예전,비하,있겠나,
기사,서슴치,넘쳐,
사진,않고,있는데,
공개,하네,많으니,
인격,낳건,미치겠네,
중상,이긴,같은데,
층,합니다만,이쁜데,
집안,묻혀져,어떻게,
저런,버려가는건,그러니,
며느리,됩니다,원망해라,
감,때려,어떻게,
기피,치우고,이런,
엄마,찍지,이런,
돈,사네,무능하고,
박,알텐데,부패한,
그네,몰랐을,있는거,
넌,잡아들이는게,같지도,
거짓말,몰랑,안되는,
뭐,되는거,같으면,
또,자랐네요,있는지,
수첩,해주는,좋아하고,
것,키우는,젊은,
수,알겠네요,심하구먼,
공주,해주는,없다,
양말,믿기,없나,
하나,들은,있을,
실,믿기,부끄럽지,
학교,믿다가,완벽하게,
교도소,믿습니다,아쉽고,
입학,살수있습니다,필요할까,
딸,앞서가고,깨끗하게,
정유,들이,옳지,
도,보이는자,좋네,
엄마,와,많으면,
학교,보이는,흡족한,
청주교도소,치시면,궁금하다,
로,올라옵니다,없었겠지만,
전학,입고,스럽다,
설마,들어와서,아파도,
이대,잠들면,그러는데,
졸업,시킨,없는거,
꿈,놓고,없고,
모녀,해서,훌륭한,
커밍아웃,벌어,있는데,
나은,먹고,아름다운,
일,듣는,좋은,
부모,쓴다고,아니겠냐,
기도,쏴,같은,
고딩,아셔야,궁금하다,
때,될,그럼,
애,믿을수,부애,
애,키우려고,아니면,
구나,했네,그렇다는,
지금,받나,아니고,
대학생,나온,적당히,
애,하고싶,있었는데,
넌,나,없네요,
녀,봐,궁금할,
말,한다고,없게,
디,뭐라,많아도,
비자,가,여전히,
그,했다고,있나,
그,가진자,많은,
상식,들이,그런데도,
통,받아야,아닌가,
사회,하는데,그랬으니,
년,하는,어줍잖은,
입국,겁나게,같을까,
금지,빨았네,저래,
돈,어긋나지만,안되는데,
실력,없애기,많게는,
던,잘도,있는,
이,한다,있는거야,
싹퉁,만나서,재미있구만,
